,Title,Date,Link,Init Crime,lat,long,LDA Topics
0,with hawk eyes kochi spotsbirds,11/28/2017 19:40,http://www.thehindu.com/news/cities/Kochi/with-hawk-eyes-kochi-spots-550-birds/article21041549.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"bird, race, area, kochi, include, "
1,cautious optimism over traffic reforms,10/24/2017 18:46,http://www.thehindu.com/news/cities/Kochi/cautious-optimism-over-traffic-reforms/article19914092.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"say, road, junction, district, traffic, "
2,fans turn kaloor stadium into a fortress of brazil,10/8/2017 3:28,http://www.thehindu.com/news/national/kerala/kerala/article19820531.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"game, fan, stadium, spanish, crowd, "
3,rescued by navy coast guardthey say platforms dispatched as soon as they received request,12/1/2017 19:41,http://www.thehindu.com/news/national/kerala/112-rescued-by-navy-coast-guardthey-say-platforms-dispatched-as-soon-as-they-received-request/article21245085.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,drunkenness,10.02,76.22,"ship, naval, rescue, say, in, "
4,rainbow warrior iii to spread climate change awareness,10/27/2017 18:48,http://www.thehindu.com/news/cities/mumbai/rainbow-warrior-iii-to-spread-climate-change-awareness/article19934751.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"greenpeace, rainbow, ship, warrior, mumbai, "
5,mobile app â€˜kochi gearâ€™ to end parking woes on willingdon puthuvype islands,11/19/2017 2:28,http://www.thehindu.com/news/cities/Kochi/mobile-app-kochi-gear-to-end-parking-woes-on-willingdon-puthuvype-islands/article20553459.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"space, parking, application, driver, road, "
6,puthuvype comes to city in protest,11/7/2017 4:07,http://www.thehindu.com/news/cities/Kochi/puthuvype-comes-to-city-in-protest/article19993918.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"protest, meeting, project, protester, say, "
7,railway claims tribunal awards compensation,10/23/2017 2:43,http://www.thehindu.com/news/cities/Kochi/railway-claims-tribunal-awards-compensation/article19901537.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"train, compensation, say, railway, mother, "
8,tributes paid to che guevara,10/12/2017 17:51,http://www.thehindu.com/news/cities/Kochi/tributes-paid-to-che-guevara/article19847672.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"guevara, revolutionary, cuban, idea, cpi, "
9,coastal literacy project to be rolled out inmore districts,12/14/2017 2:28,http://www.thehindu.com/news/cities/Kochi/coastal-literacy-project-to-be-rolled-out-in-3-more-districts/article21616026.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"project, coastal, literacy, area, people, "
10,city pays rich tributes to former legislators,11/6/2017 18:57,http://www.thehindu.com/news/cities/Kochi/city-pays-rich-tributes-to-former-legislators/article19994301.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"kerala, assembly, legislator, legislative, paul, "
11,lawyer in hadiya case approaches police,11/27/2017 14:24,http://www.thehindu.com/news/national/kerala/lawyer-in-hadiya-case-approaches-police/article20999963.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"police, complaint, state, lawyer, case, "
12,temple website hacked again,11/5/2017 2:38,http://www.thehindu.com/news/cities/Kochi/temple-website-hacked-again/article19984832.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"website, hack, hacker, pakistan, claim, "
13,alcohol abuse causesof disease burden in youth,11/6/2017 7:44,http://www.thehindu.com/news/national/kerala/alcohol-abuse-causes-10-of-disease-burden-in-youth/article19991713.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,drunkenness,10.02,76.22,"use, alcohol, woman, say, survey, "
